Word,Morph1,Morph2,Pattern,Stress (1syl.2syl)
coarsen,coarse,en,Root+Affix,13
cobbler,cobble,er,Root+Affix,13
collier,coal,ier,Root+Affix,13
county,count,y,Root+Affix,13
crafty,craft,y,Root+Affix,13
cranky,crank,y,Root+Affix,13
cryptic,crypt,ic,Root+Affix,13
dampen,damp,en,Root+Affix,13
dawdler,dawdle,er,Root+Affix,13
direful,dire,ful,Root+Affix,13
dumpy,dump,y,Root+Affix,13
earthy,earth,y,Root+Affix,13
eastern,east,ern,Root+Affix,13
fateful,fate,ful,Root+Affix,13
feckless,feck,less,Root+Affix,13
fifteen,five,teen,Root+Affix,31
fifty,five,ty,Root+Affix,13
fledgling,fledge,ling,Root+Affix,13
formal,form,al,Root+Affix,13
forty,four,ty,Root+Affix,13
frailty,frail,ty,Root+Affix,13
frontage,front,age,Root+Affix,13
frontal,front,al,Root+Affix,13
fulsome,full,some,Root+Affix,13
fusty,fust,y,Root+Affix,13
gimpy,gimp,y,Root+Affix,13
gladsome,glad,some,Root+Affix,13
globule,globe,ule,Root+Affix,13
gobbler,gobble,er,Root+Affix,13
golden,gold,en,Root+Affix,13
goodly,good,ly,Root+Affix,13
gorgeous,gorge,ous,Root+Affix,13
gosling,goose,ling,Root+Affix,13
grantee,grant,ee,Root+Affix,31
granule,grain,ule,Root+Affix,13
grateful,grate,ful,Root+Affix,13
greenness,green,ness,Root+Affix,13
grinder,grind,er,Root+Affix,13
grizzly,grizzle,y,Root+Affix,13
grumpy,grump,y,Root+Affix,13
guileless,guile,less,Root+Affix,13
handsome,hand,some,Root+Affix,13
handy,hand,y,Root+Affix,13
hapless,hap,less,Root+Affix,13
hatred,hate,red,Root+Affix,13
hearten,heart,en,Root+Affix,13
hearty,heart,y,Root+Affix,13
heelless,heel,less,Root+Affix,13
hefty,heft,y,Root+Affix,13
herbage,herb,age,Root+Affix,13
homely,home,ly,Root+Affix,13
horsy,horse,y,Root+Affix,13
hostess,host,ess,Root+Affix,13
houseless,house,less,Root+Affix,13
hutment,hut,ment,Root+Affix,13
hydrant,hydro,ant,Root+Affix,13
hymnal,hymn,al,Root+Affix,13
inward,in,ward,Root+Affix,13
judgement,judge,ment,Root+Affix,13
justice,just,ice,Root+Affix,13
kinship,kin,ship,Root+Affix,12
lancer,lance,er,Root+Affix,13
lancet,lance,et,Root+Affix,13
lanky,lank,y,Root+Affix,13
larder,lard,er,Root+Affix,13
leafless,leaf,less,Root+Affix,13
leftist,left,ist,Root+Affix,13
lengthen,length,en,Root+Affix,13
lifeless,life,less,Root+Affix,13
lightsome,light,some,Root+Affix,13
likely,like,ly,Root+Affix,13
likeness,like,ness,Root+Affix,13
limbless,limb,less,Root+Affix,13
lively,live,ly,Root+Affix,13
loathly,loath,ly,Root+Affix,13
loathsome,loath,some,Root+Affix,13
lodgement,lodge,ment,Root+Affix,13
lofty,loft,y,Root+Affix,13
lusty,lust,y,Root+Affix,13
manful,man,ful,Root+Affix,13
mangy,mange,y,Root+Affix,13
manhood,man,hood,Root+Affix,12
manlike,man,like,Root+Affix,13
manly,man,ly,Root+Affix,13
metric,metre,ic,Root+Affix,13
moisture,moist,ure,Root+Affix,13
molder,mold,er,Root+Affix,13
musty,must,y,Root+Affix,13
nameless,name,less,Root+Affix,13
needless,need,less,Root+Affix,13
nervous,nerve,ous,Root+Affix,13
nightly,night,ly,Root+Affix,13
nineteen,nine,teen,Root+Affix,11
ninety,nine,ty,Root+Affix,13
nitrate,nitre,ate,Root+Affix,12
nitrous,nitre,ous,Root+Affix,13
normal,norm,al,Root+Affix,13
numbly,numb,ly,Root+Affix,13
oneself,one,self,Root+Affix,21
onward,on,ward,Root+Affix,13
option,opt,ion,Root+Affix,13
ouster,oust,er,Root+Affix,13
pedlar,peddle,ar,Root+Affix,13
pester,pest,er,Root+Affix,13
pinky,pink,y,Root+Affix,13
placement,place,ment,Root+Affix,13
plainness,plain,ness,Root+Affix,13
plaintiff,plaint,ive,Root+Affix,13
plaintive,plaint,ive,Root+Affix,13
plunger,plunge,er,Root+Affix,13
pointer,point,er,Root+Affix,13
pompous,pomp,ous,Root+Affix,13
portage,port,age,Root+Affix,13
porter,port,er,Root+Affix,13
postage,post,age,Root+Affix,13
postal,post,al,Root+Affix,13
poster,post,er,Root+Affix,13
prayerful,prayer,ful,Root+Affix,13
preachment,peach,ment,Root+Affix,13
prickly,prickle,y,Root+Affix,13
princess,prince,ess,Root+Affix,13
purser,purse,er,Root+Affix,13
rafter,raft,er,Root+Affix,13
rampant,ramp,ant,Root+Affix,13
ranger,range,er,Root+Affix,13
rapture,rapt,ure,Root+Affix,13
rearward,rear,ward,Root+Affix,13
reckless,reck,less,Root+Affix,13
rental,rent,al,Root+Affix,13
rhythmic,rhythm,ic,Root+Affix,13
ringlet,ring,let,Root+Affix,13
rootlet,root,let,Root+Affix,13
ruthless,ruth,less,Root+Affix,13
salvage,salve,age,Root+Affix,13
scaleless,scale,less,Root+Affix,13
scamper,scamp,er,Root+Affix,13
scripture,script,ure,Root+Affix,13
seemly,seem,ly,Root+Affix,13
selfish,self,ish,Root+Affix,13
servant,serve,ant,Root+Affix,13
service,serve,ice,Root+Affix,13
servile,serve,ile,Root+Affix,13
sharpen,sharp,en,Root+Affix,13
shorten,short,en,Root+Affix,13
signet,sign,et,Root+Affix,13
soulless,soul,less,Root+Affix,13
sparkle,spark,le,Root+Affix,13
sprightly,spright,ly,Root+Affix,13
startle,start,le,Root+Affix,13
stranger,strange,er,Root+Affix,13
strengthen,strength,en,Root+Affix,13
stricture,strict,ure,Root+Affix,13
stronger,strong,er,Root+Affix,13
strongly,strong,ly,Root+Affix,13
suckling,suck,ling,Root+Affix,13
