Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax,codaP,onsetP
"('B',)",rabble,CX,0.8952201829345698,0.10477981706543017,0,0,XC,0.25,0.25,0,0,4,True,True,0.02147820593809223,0.8420812414422638
"('B',)",rabble,X,0.8952201829345698,0.10477981706543017,0,0,XC,0.25,0.25,0,0,0,True,True,,
"('R', 'T')",quarto,XC,0.0,0.4795027770431103,0.5204972229568897,0,CX,0.25,0.25,0.25,0,0,True,True,0.9209274673008323,0.0
"('R', 'T')",quarto,CX,0.0,0.4795027770431103,0.5204972229568897,0,CX,0.25,0.25,0.25,0,19,True,True,0.06797463337296869,0.13074204946996465
"('R', 'T')",quarto,CCX,0.0,0.4795027770431103,0.5204972229568897,0,CX,0.25,0.25,0.25,0,1,True,True,0.01109789932619897,0.8692579505300353
"('R', 'T')",quarto,X,0.0,0.4795027770431103,0.5204972229568897,0,CX,0.25,0.25,0.25,0,1,True,True,,
"('D',)",credo,XC,0.6414686808130189,0.3585313191869811,0,0,XC,0.25,0.25,0,0,19,True,False,0.8619922092376182,0.22266694754581842
"('D',)",credo,CX,0.6414686808130189,0.3585313191869811,0,0,XC,0.25,0.25,0,0,2,True,False,0.13800779076238173,0.7773330524541816
"('D',)",credo,X,0.6414686808130189,0.3585313191869811,0,0,XC,0.25,0.25,0,0,0,True,False,,
"('T',)",flutter,XC,0.3417896651459582,0.6582103348540418,0,0,XC,0.25,0.25,0,0,16,True,True,0.7754046387452027,0.13074204946996465
"('T',)",flutter,CX,0.3417896651459582,0.6582103348540418,0,0,XC,0.25,0.25,0,0,5,True,True,0.22459536125479723,0.8692579505300353
"('T',)",flutter,X,0.3417896651459582,0.6582103348540418,0,0,XC,0.25,0.25,0,0,0,True,True,,
"('K',)",bucket,XC,0.6891478535557146,0.3108521464442854,0,0,XC,0.25,0.25,0,0,14,True,True,0.8542279411764705,0.2744789618560755
"('K',)",bucket,CX,0.6891478535557146,0.3108521464442854,0,0,XC,0.25,0.25,0,0,7,True,True,0.1457720588235294,0.7255210381439245
"('K',)",bucket,X,0.6891478535557146,0.3108521464442854,0,0,XC,0.25,0.25,0,0,0,True,True,,
"('N',)",tenet,XC,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,10,True,True,0.6531271960646521,0.09269731989181215
"('N',)",tenet,CX,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,10,True,True,0.34687280393534786,0.9073026801081878
"('N',)",tenet,X,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,1,True,True,,
"('N', 'Z')",stanza,XC,0.0,0.8069578864765892,0.1930421135234109,0,CX,0.25,0.25,0.25,0,0,True,True,0.6523936543591183,0.0
"('N', 'Z')",stanza,CX,0.0,0.8069578864765892,0.1930421135234109,0,CX,0.25,0.25,0.25,0,18,True,True,0.34648322336094345,0.013368983957219253
"('N', 'Z')",stanza,CCX,0.0,0.8069578864765892,0.1930421135234109,0,CX,0.25,0.25,0.25,0,3,True,True,0.001123122279938228,0.9866310160427807
"('N', 'Z')",stanza,X,0.0,0.8069578864765892,0.1930421135234109,0,CX,0.25,0.25,0.25,0,0,True,True,,
"('V',)",revel,XC,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,15,True,True,0.9231227651966627,0.08911379906196001
"('V',)",revel,CX,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,6,True,True,0.07687723480333729,0.91088620093804
"('V',)",revel,X,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,0,True,True,,
"('R', 'G')",forget,XC,0.0,0.9607024568951745,0.039297543104825396,0,CX,0.25,0.25,0.25,0,0,False,True,0.9310759366860348,0.0
