Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax
"('S',)",gossip,XC,0.5935656925793876,0.40643430742061243,0,0,XC,0.25,0.25,0,0,16,True,False
"('S',)",gossip,CX,0.5935656925793876,0.40643430742061243,0,0,XC,0.25,0.25,0,0,6,True,False
"('S',)",gossip,X,0.5935656925793876,0.40643430742061243,0,0,XC,0.25,0.25,0,0,0,True,False
"('N', 'T')",contact,XC,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,0,True,False
"('N', 'T')",contact,CX,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,22,True,False
"('N', 'T')",contact,CCX,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,0,True,False
"('N', 'T')",contact,X,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,0,True,False
"('JH',)",cogent,XC,0.5922884283359673,0.40771157166403266,0,0,XC,0.25,0.25,0,0,21,True,False
"('JH',)",cogent,CX,0.5922884283359673,0.40771157166403266,0,0,XC,0.25,0.25,0,0,1,True,False
"('JH',)",cogent,X,0.5922884283359673,0.40771157166403266,0,0,XC,0.25,0.25,0,0,0,True,False
"('S', 'CH')",bastion,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,6,True,True
"('S', 'CH')",bastion,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,12,True,True
"('S', 'CH')",bastion,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,2,True,True
"('S', 'CH')",bastion,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,2,True,True
"('R',)",gory,XC,0.8002271942738329,0.19977280572616696,0,0,XC,0,1,0,0,8,True,True
"('R',)",gory,CX,0.8002271942738329,0.19977280572616696,0,0,XC,0,1,0,0,13,True,True
"('R',)",gory,X,0.8002271942738329,0.19977280572616696,0,0,XC,0,1,0,0,1,True,True
