Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency
"('G', 'R')",vagrant,XC,0.8576185523386181,0.14238144766138183,0.0,0,XC,0.25,0.25,0.25,0,18
"('G', 'R')",vagrant,CX,0.8576185523386181,0.14238144766138183,0.0,0,XC,0.25,0.25,0.25,0,4
"('G', 'R')",vagrant,CCX,0.8576185523386181,0.14238144766138183,0.0,0,XC,0.25,0.25,0.25,0,0
"('G', 'R')",vagrant,X,0.8576185523386181,0.14238144766138183,0.0,0,XC,0.25,0.25,0.25,0,0
"('S', 'P')",despair,XC,0.3891201071817812,0.5891543865112147,0.021725506307004105,0,XC,0.25,0.25,0.25,0,15
"('S', 'P')",despair,CX,0.3891201071817812,0.5891543865112147,0.021725506307004105,0,XC,0.25,0.25,0.25,0,7
"('S', 'P')",despair,CCX,0.3891201071817812,0.5891543865112147,0.021725506307004105,0,XC,0.25,0.25,0.25,0,0
"('S', 'P')",despair,X,0.3891201071817812,0.5891543865112147,0.021725506307004105,0,XC,0.25,0.25,0.25,0,0
"('G', 'L')",agleam,XC,0.8265891248507652,0.17341087514923484,0.0,0,XC,1,0,0,0,19
"('G', 'L')",agleam,CX,0.8265891248507652,0.17341087514923484,0.0,0,XC,1,0,0,0,3
"('G', 'L')",agleam,CCX,0.8265891248507652,0.17341087514923484,0.0,0,XC,1,0,0,0,0
"('G', 'L')",agleam,X,0.8265891248507652,0.17341087514923484,0.0,0,XC,1,0,0,0,0
"('R', 'T')",turtle,XC,0.0,0.4795027770431103,0.5204972229568897,0,CX,0.25,0.25,0.25,0,0
"('R', 'T')",turtle,CX,0.0,0.4795027770431103,0.5204972229568897,0,CX,0.25,0.25,0.25,0,21
"('R', 'T')",turtle,CCX,0.0,0.4795027770431103,0.5204972229568897,0,CX,0.25,0.25,0.25,0,1
"('R', 'T')",turtle,X,0.0,0.4795027770431103,0.5204972229568897,0,CX,0.25,0.25,0.25,0,0
"('HH',)",ahoy,XC,1.0,0.0,0,0,XC,1,0,0,0,21
"('HH',)",ahoy,CX,1.0,0.0,0,0,XC,1,0,0,0,1
"('HH',)",ahoy,X,1.0,0.0,0,0,XC,1,0,0,0,0
"('N', 'Y')",junior,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,7
"('N', 'Y')",junior,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,15
"('N', 'Y')",junior,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0
"('N', 'Y')",junior,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0
"('K', 'N')",hackney,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,1
"('K', 'N')",hackney,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,21
"('K', 'N')",hackney,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0
"('K', 'N')",hackney,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0
"('L', 'D', 'W')",wildwood,XC,0.0,0.3254458161865569,0.6745541838134431,0.0,CX,0,0,1,0,0
"('L', 'D', 'W')",wildwood,CX,0.0,0.3254458161865569,0.6745541838134431,0.0,CX,0,0,1,0,3
"('L', 'D', 'W')",wildwood,CCX,0.0,0.3254458161865569,0.6745541838134431,0.0,CX,0,0,1,0,19
"('L', 'D', 'W')",wildwood,CCCX,0.0,0.3254458161865569,0.6745541838134431,0.0,CX,0,0,1,0,0
"('L', 'D', 'W')",wildwood,X,0.0,0.3254458161865569,0.6745541838134431,0.0,CX,0,0,1,0,0
"('P', 'L')",triplet,XC,0.7999655706662075,0.20003442933379237,0.0,0,XC,0.25,0.25,0.25,0,2
"('P', 'L')",triplet,CX,0.7999655706662075,0.20003442933379237,0.0,0,XC,0.25,0.25,0.25,0,20
"('P', 'L')",triplet,CCX,0.7999655706662075,0.20003442933379237,0.0,0,XC,0.25,0.25,0.25,0,0
"('P', 'L')",triplet,X,0.7999655706662075,0.20003442933379237,0.0,0,XC,0.25,0.25,0.25,0,0
"('R',)",curry,XC,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,1
"('R',)",curry,CX,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,21
"('R',)",curry,X,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,0
"('N', 'D')",indoors,XC,0.0,0.8386634243321687,0.16133657566783127,0,CX,0,1,0,0,0
"('N', 'D')",indoors,CX,0.0,0.8386634243321687,0.16133657566783127,0,CX,0,1,0,0,22
"('N', 'D')",indoors,CCX,0.0,0.8386634243321687,0.16133657566783127,0,CX,0,1,0,0,0
"('N', 'D')",indoors,X,0.0,0.8386634243321687,0.16133657566783127,0,CX,0,1,0,0,0
"('P',)",tripod,XC,0.8501439384006303,0.14985606159936973,0,0,XC,1,0,0,0,22
"('P',)",tripod,CX,0.8501439384006303,0.14985606159936973,0,0,XC,1,0,0,0,0
"('P',)",tripod,X,0.8501439384006303,0.14985606159936973,0,0,XC,1,0,0,0,0
"('CH',)",dacha,XC,0.6349992045913436,0.3650007954086565,0,0,XC,0.25,0.25,0,0,16
"('CH',)",dacha,CX,0.6349992045913436,0.3650007954086565,0,0,XC,0.25,0.25,0,0,5
"('CH',)",dacha,X,0.6349992045913436,0.3650007954086565,0,0,XC,0.25,0.25,0,0,1
"('K',)",trickle,XC,0.6891478535557146,0.3108521464442854,0,0,XC,0.25,0.25,0,0,11
"('K',)",trickle,CX,0.6891478535557146,0.3108521464442854,0,0,XC,0.25,0.25,0,0,11
"('K',)",trickle,X,0.6891478535557146,0.3108521464442854,0,0,XC,0.25,0.25,0,0,0
"('L',)",alert,XC,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,21
"('L',)",alert,CX,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,1
"('L',)",alert,X,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,0
"('P', 'L')",poplin,XC,0.7999655706662075,0.20003442933379237,0.0,0,XC,0.25,0.25,0.25,0,6
"('P', 'L')",poplin,CX,0.7999655706662075,0.20003442933379237,0.0,0,XC,0.25,0.25,0.25,0,16
"('P', 'L')",poplin,CCX,0.7999655706662075,0.20003442933379237,0.0,0,XC,0.25,0.25,0.25,0,0
"('P', 'L')",poplin,X,0.7999655706662075,0.20003442933379237,0.0,0,XC,0.25,0.25,0.25,0,0
"('G',)",trigger,XC,0.7698792607864963,0.23012073921350376,0,0,XC,0.25,0.25,0,0,13
"('G',)",trigger,CX,0.7698792607864963,0.23012073921350376,0,0,XC,0.25,0.25,0,0,9
"('G',)",trigger,X,0.7698792607864963,0.23012073921350376,0,0,XC,0.25,0.25,0,0,0
