Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax,codaP,onsetP
"('N', 'D')",vendee,CX,0.0,0.7453799281808742,0.25462007181912594,0,CX,0,0,1,0,18,True,True,0.27222482435597184,0.21693121693121697
"('N', 'D')",vendee,CCX,0.0,0.7453799281808742,0.25462007181912594,0,CX,0,0,1,0,2,True,True,0.02576112412177986,0.783068783068783
"('N', 'D')",vendee,X,0.0,0.7453799281808742,0.25462007181912594,0,CX,0,0,1,0,1,True,True,,
"('N', 'JH', 'F')",vengeful,XC,0.0,0.0,1.0,0.0,CCX,0,0,1,0,0,True,True,0.7178848548711563,0.0
"('N', 'JH', 'F')",vengeful,CX,0.0,0.0,1.0,0.0,CCX,0,0,1,0,0,True,True,0.2783791550914838,0.0
"('N', 'JH', 'F')",vengeful,CCX,0.0,0.0,1.0,0.0,CCX,0,0,1,0,21,True,True,0.0037359900373599006,0.1375019688139865
"('N', 'JH', 'F')",vengeful,CCCX,0.0,0.0,1.0,0.0,CCX,0,0,1,0,0,True,True,0.0,0.8624980311860135
"('N', 'JH', 'F')",vengeful,X,0.0,0.0,1.0,0.0,CCX,0,0,1,0,0,True,True,,
"('V',)",gravel,XC,0.5737859575335379,0.426214042466462,0,0,XC,0.25,0.25,0,0,17,True,True,0.9457344775365977,0.07170706899474488
"('V',)",gravel,CX,0.5737859575335379,0.426214042466462,0,0,XC,0.25,0.25,0,0,4,True,True,0.05426552246340232,0.9282929310052551
"('V',)",gravel,X,0.5737859575335379,0.426214042466462,0,0,XC,0.25,0.25,0,0,0,True,True,,
"('N', 'F', 'L')",inflict,XC,0.0,1.0,0.0,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,0.7205769230769231,0.0
"('N', 'F', 'L')",inflict,CX,0.0,1.0,0.0,0.0,CX,0.25,0.25,0.25,0.25,21,True,True,0.27942307692307683,0.02735280482151136
"('N', 'F', 'L')",inflict,CCX,0.0,1.0,0.0,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,0.0,0.12641013753670222
"('N', 'F', 'L')",inflict,CCCX,0.0,1.0,0.0,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,0.0,0.8462370576417865
"('N', 'F', 'L')",inflict,X,0.0,1.0,0.0,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,,
"('B',)",gabby,XC,0.924360571883047,0.07563942811695307,0,0,XC,0,1,0,0,16,True,True,0.9850157728706624,0.15676008623344626
"('B',)",gabby,CX,0.924360571883047,0.07563942811695307,0,0,XC,0,1,0,0,5,True,True,0.014984227129337538,0.8432399137665537
"('B',)",gabby,X,0.924360571883047,0.07563942811695307,0,0,XC,0,1,0,0,0,True,True,,
"('D', 'V')",vaudeville,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,3,True,False,0.8771067415730337,0.0
"('D', 'V')",vaudeville,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,17,True,False,0.12289325842696627,0.07170706899474488
