Word,# of Medial Consonants,# of .C*,# of C.*,# of CC.*,# of CCC.*,# of ?,prop. of .C*,prop. of C.*,prop. of CC.*,prop. of CCC.*,prop. of ?
sternum,2,0,11,11,0,0,0,0.5,0.5,0,0
courage,1,1,21,0,0,0,0.045454545,0.954545455,0,0,0
fission,1,14,8,0,0,0,0.636363636,0.363636364,0,0,0
bronchus,2,1,16,5,0,0,0.045454545,0.727272727,0.227272727,0,0
antique,2,0,22,0,0,0,0,1,0,0,0
tribesman,3,1,4,16,1,0,0.045454545,0.181818182,0.727272727,0.045454545,0
ferment,2,1,21,0,0,0,0.045454545,0.954545455,0,0,0
matrix,2,22,0,0,0,0,1,0,0,0,0
bulwark,2,0,21,1,0,0,0,0.954545455,0.045454545,0,0
ferric,1,4,18,0,0,0,0.181818182,0.818181818,0,0,0
female,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
feature,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
belfry,3,0,21,1,0,0,0,0.954545455,0.045454545,0,0
fecund,1,17,3,0,0,2,0.772727273,0.136363636,0,0,0.090909091
every,2,7,14,1,0,0,0.318181818,0.636363636,0.045454545,0,0
filing,1,10,12,0,0,0,0.454545455,0.545454545,0,0,0
fiery,1,10,12,0,0,0,0.454545455,0.545454545,0,0,0
restore,2,18,4,0,0,0,0.818181818,0.181818182,0,0,0
upkeep,2,0,22,0,0,0,0,1,0,0,0
cesspool,2,0,22,0,0,0,0,1,0,0,0
cover,1,19,3,0,0,0,0.863636364,0.136363636,0,0,0
covey,1,17,5,0,0,0,0.772727273,0.227272727,0,0,0
amok,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
feudal,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
fetus,1,18,4,0,0,0,0.818181818,0.181818182,0,0,0
foreswear,3,0,19,3,0,0,0,0.863636364,0.136363636,0,0
idle,1,18,4,0,0,0,0.818181818,0.181818182,0,0,0
knavish,1,11,10,0,0,1,0.5,0.454545455,0,0,0.045454545
forestall,3,1,21,0,0,0,0.045454545,0.954545455,0,0,0
foresheet,2,0,22,0,0,0,0,1,0,0,0
mandrake,3,0,21,0,0,1,0,0.954545455,0,0,0.045454545
cossack,1,18,4,0,0,0,0.818181818,0.181818182,0,0,0
cougar,1,19,3,0,0,0,0.863636364,0.136363636,0,0,0
foray,1,9,12,0,0,1,0.409090909,0.545454545,0,0,0.045454545
decline,2,21,1,0,0,0,0.954545455,0.045454545,0,0,0
cripple,1,15,7,0,0,0,0.681818182,0.318181818,0,0,0
former,2,0,17,5,0,0,0,0.772727273,0.227272727,0,0
formal,2,0,21,1,0,0,0,0.954545455,0.045454545,0,0
forsake,2,1,21,0,0,0,0.045454545,0.954545455,0,0,0
lobby,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
slogan,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
forewarn,2,1,21,0,0,0,0.045454545,0.954545455,0,0,0
masseur,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
rescript,3,20,2,0,0,0,0.909090909,0.090909091,0,0,0
cortex,2,0,22,0,0,0,0,1,0,0,0
rotten,1,15,7,0,0,0,0.681818182,0.318181818,0,0,0
flotsam,2,0,20,2,0,0,0,0.909090909,0.090909091,0,0
fluster,2,9,10,3,0,0,0.409090909,0.454545455,0.136363636,0,0
council,2,0,22,0,0,0,0,1,0,0,0
florist,1,4,18,0,0,0,0.181818182,0.818181818,0,0,0
nervous,2,1,18,3,0,0,0.045454545,0.818181818,0.136363636,0,0
flimflam,3,0,22,0,0,0,0,1,0,0,0
candied,2,0,21,1,0,0,0,0.954545455,0.045454545,0,0
flora,1,7,15,0,0,0,0.318181818,0.681818182,0,0,0
cotton,1,12,9,0,0,1,0.545454545,0.409090909,0,0,0.045454545
parsley,3,0,15,7,0,0,0,0.681818182,0.318181818,0,0
follow,1,14,8,0,0,0,0.636363636,0.363636364,0,0,0
fondle,2,1,19,2,0,0,0.045454545,0.863636364,0.090909091,0,0
foment,1,19,3,0,0,0,0.863636364,0.136363636,0,0,0
biceps,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
alloy,1,4,17,0,0,1,0.181818182,0.772727273,0,0,0.045454545
flyblown,2,21,1,0,0,0,0.954545455,0.045454545,0,0,0
fodder,1,17,5,0,0,0,0.772727273,0.227272727,0,0,0
sliver,1,16,6,0,0,0,0.727272727,0.272727273,0,0,0
ermine,2,0,21,1,0,0,0,0.954545455,0.045454545,0,0
satyr,1,16,4,0,0,2,0.727272727,0.181818182,0,0,0.090909091
cricket,1,17,5,0,0,0,0.772727273,0.227272727,0,0,0
erect,1,17,5,0,0,0,0.772727273,0.227272727,0,0,0
flurry,1,4,18,0,0,0,0.181818182,0.818181818,0,0,0
epoch,1,15,7,0,0,0,0.681818182,0.318181818,0,0,0
entry,3,0,22,0,0,0,0,1,0,0,0
ellipse,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
enzyme,2,0,22,0,0,0,0,1,0,0,0
toilet,1,17,5,0,0,0,0.772727273,0.227272727,0,0,0
creature,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
eunuch,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
sphincter,3,0,1,20,0,1,0,0.045454545,0.909090909,0,0.045454545
knobby,1,14,8,0,0,0,0.636363636,0.363636364,0,0,0
evade,1,22,0,0,0,0,1,0,0,0,0
ethnic,2,0,22,0,0,0,0,1,0,0,0
compact,2,0,22,0,0,0,0,1,0,0,0
erupt,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
credence,1,17,5,0,0,0,0.772727273,0.227272727,0,0,0
escort,2,2,19,1,0,0,0.090909091,0.863636364,0.045454545,0,0
elapse,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
eject,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
elide,1,16,4,0,0,2,0.727272727,0.181818182,0,0,0.090909091
miser,1,18,4,0,0,0,0.818181818,0.181818182,0,0,0
plangent,2,0,21,1,0,0,0,0.954545455,0.045454545,0,0
critter,1,15,7,0,0,0,0.681818182,0.318181818,0,0,0
elite,1,22,0,0,0,0,1,0,0,0,0
sadden,1,14,8,0,0,0,0.636363636,0.363636364,0,0,0
newly,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
entreat,3,0,21,1,0,0,0,0.954545455,0.045454545,0,0
enough,1,19,3,0,0,0,0.863636364,0.136363636,0,0,0
engine,2,0,22,0,0,0,0,1,0,0,0
enter,2,0,22,0,0,0,0,1,0,0,0
crimson,2,0,22,0,0,0,0,1,0,0,0
northward,3,0,5,17,0,0,0,0.227272727,0.772727273,0,0
forsooth,2,0,21,1,0,0,0,0.954545455,0.045454545,0,0
empire,2,0,21,1,0,0,0,0.954545455,0.045454545,0,0
encamp,2,1,21,0,0,0,0.045454545,0.954545455,0,0,0
emu,2,21,0,1,0,0,0.954545455,0,0.045454545,0,0
falter,2,0,21,1,0,0,0,0.954545455,0.045454545,0,0
falchion,2,0,20,0,0,2,0,0.909090909,0,0,0.090909091
facing,1,17,5,0,0,0,0.772727273,0.227272727,0,0,0
falsehood,3,0,2,20,0,0,0,0.090909091,0.909090909,0,0
hulking,2,0,16,6,0,0,0,0.727272727,0.272727273,0,0
